출장,부서,전공,참여프로젝트,근속연차,이직회수,업무평가,주변평가,경력,전년도교육출장횟수,현회사근속년수,월급_KRW,직급관리자여부,월급_경력비,월급_프로젝트비,현근속_총경력비,총근속,경력성장률,이직빈도,학습몰입도,월급_근속연차비,월급_출장비,근속_경력비,평균근속기간,프로젝트_경력비,프로젝트_근속연차비,출장_경력비,출장_근속연차비,교육출장_경력비,주변평가_근속연차,학습몰입도_교육출장
1,1,사회과학계열,3,2,8,0,1,8,0,6,8270340.0,0,918926.6666666666,2067585.0,0.6666666666666666,2,2.0,0.8888888888888888,0,2756780.0,4135170.0,0.6666666666666666,0.2222222222222222,0.3333333333333333,1.0,0.1111111111111111,0.3333333333333333,0.0,2,0
2,0,사회과학계열,2,2,1,1,4,10,3,10,7079400.0,0,643581.8181818182,2359800.0,0.9090909090909092,2,3.333333333333333,0.0909090909090909,6,2359800.0,2359800.0,0.9090909090909091,1.0,0.18181818181818182,0.6666666666666666,0.18181818181818182,0.6666666666666666,0.2727272727272727,8,18
1,0,기타,2,1,6,0,2,7,3,0,2884200.0,0,360525.0,961400.0,0.0,1,0.0,0.75,6,1442100.0,1442100.0,0.0,0.14285714285714285,0.25,1.0,0.125,0.5,0.375,2,18
2,0,사회과학계열,3,1,1,0,3,8,3,8,4014420.0,0,446046.6666666667,1003605.0,0.8888888888888888,1,4.0,0.1111111111111111,9,2007210.0,1338140.0,0.8888888888888888,0.5,0.3333333333333333,1.5,0.2222222222222222,1.0,0.3333333333333333,3,27
1,0,자연과학계열,3,1,9,0,4,6,3,2,4785840.0,0,683691.4285714285,1196460.0,0.2857142857142857,1,1.0,1.2857142857142858,9,2392920.0,2392920.0,0.2857142857142857,0.1,0.42857142857142855,1.5,0.14285714285714285,0.5,0.42857142857142855,4,27
2,0,사회과학계열,3,1,0,0,3,8,2,7,4233840.0,0,470426.6666666667,1058460.0,0.7777777777777778,1,3.5,0.0,6,2116920.0,1411280.0,0.7777777777777778,1.0,0.3333333333333333,1.5,0.2222222222222222,1.0,0.2222222222222222,3,12
1,0,자연과학계열,4,1,4,1,1,12,3,1,3684600.0,0,283430.76923076925,736920.0,0.0769230769230769,1,0.5,0.3076923076923077,12,1842300.0,1842300.0,0.07692307692307693,0.2,0.3076923076923077,2.0,0.07692307692307693,0.5,0.23076923076923078,1,36
1,0,사회과학계열,3,1,1,1,2,1,2,1,3716340.0,0,1858170.0,929085.0,0.5,1,0.5,0.5,6,1858170.0,1858170.0,0.5,0.5,1.5,1.5,0.5,0.5,1.0,2,12
2,0,사회과학계열,2,3,0,1,2,10,2,9,13145880.0,1,1195080.0,4381960.0,0.8181818181818182,3,2.25,0.0,4,3286470.0,4381960.0,0.8181818181818182,3.0,0.18181818181818182,0.5,0.18181818181818182,0.5,0.18181818181818182,6,8
1,0,자연과학계열,3,2,6,0,2,17,3,7,7227060.0,1,401503.3333333333,1806765.0,0.3888888888888889,2,2.333333333333333,0.3333333333333333,9,2409020.0,3613530.0,0.3888888888888889,0.2857142857142857,0.16666666666666666,1.0,0.05555555555555555,0.3333333333333333,0.16666666666666666,4,27
1,0,자연과학계열,4,1,0,0,3,6,5,5,3347880.0,0,478268.5714285714,669576.0,0.7142857142857143,1,2.5,0.0,20,1673940.0,1673940.0,0.7142857142857143,1.0,0.5714285714285714,2.0,0.14285714285714285,0.5,0.7142857142857143,3,100
1,0,사회과학계열,2,2,0,0,4,10,3,9,5786340.0,0,526030.9090909091,1928780.0,0.8181818181818182,2,3.0,0.0,6,1928780.0,2893170.0,0.8181818181818182,2.0,0.18181818181818182,0.6666666666666666,0.09090909090909091,0.3333333333333333,0.2727272727272727,8,18
1,0,사회과학계열,3,1,1,0,4,5,1,5,4017180.0,0,669530.0,1004295.0,0.8333333333333334,1,2.5,0.1666666666666666,3,2008590.0,2008590.0,0.8333333333333334,0.5,0.5,1.5,0.16666666666666666,0.5,0.16666666666666666,4,3
1,0,자연과학계열,3,1,0,0,3,3,2,2,3672180.0,0,918045.0,918045.0,0.5,1,1.0,0.0,6,1836090.0,1836090.0,0.5,1.0,0.75,1.5,0.25,0.5,0.5,3,12
1,0,사회과학계열,2,1,5,0,2,6,4,4,2798640.0,0,399805.7142857143,932880.0,0.5714285714285714,1,2.0,0.7142857142857143,8,1399320.0,1399320.0,0.5714285714285714,0.16666666666666666,0.2857142857142857,1.0,0.14285714285714285,0.5,0.5714285714285714,2,32
1,0,사회과학계열,4,3,1,0,3,10,1,10,13772400.0,1,1252036.3636363635,2754480.0,0.9090909090909092,3,2.5,0.0909090909090909,4,3443100.0,6886200.0,0.9090909090909091,1.5,0.36363636363636365,1.0,0.09090909090909091,0.25,0.09090909090909091,9,4
1,0,사회과학계열,4,1,0,0,4,7,5,6,4551240.0,0,568905.0,910248.0,0.75,1,3.0,0.0,20,2275620.0,2275620.0,0.75,1.0,0.5,2.0,0.125,0.5,0.625,4,100
0,0,자연과학계열,4,1,1,0,2,1,2,1,4050300.0,0,2025150.0,810060.0,0.5,1,0.5,0.5,8,2025150.0,4050300.0,0.5,0.5,2.0,2.0,0.0,0.0,1.0,2,16
1,1,사회과학계열,2,4,2,0,3,31,3,25,21289260.0,1,665289.375,7096420.0,0.78125,4,5.0,0.0625,6,4257852.0,10644630.0,0.78125,1.3333333333333333,0.0625,0.4,0.03125,0.2,0.09375,12,18
1,0,사회과학계열,3,1,5,0,3,6,3,3,5442720.0,0,777531.4285714285,1360680.0,0.4285714285714285,1,1.5,0.7142857142857143,9,2721360.0,2721360.0,0.42857142857142855,0.16666666666666666,0.42857142857142855,1.5,0.14285714285714285,0.5,0.42857142857142855,3,27
0,0,기타,4,2,0,0,4,5,5,4,5535180.0,1,922530.0,1107036.0,0.6666666666666666,2,1.3333333333333333,0.0,20,1845060.0,5535180.0,0.6666666666666666,2.0,0.6666666666666666,1.3333333333333333,0.0,0.0,0.8333333333333334,8,100
1,1,사회과학계열,2,1,7,1,2,10,4,5,4701660.0,0,427423.6363636364,1567220.0,0.4545454545454545,1,2.5,0.6363636363636364,8,2350830.0,2350830.0,0.45454545454545453,0.125,0.18181818181818182,1.0,0.09090909090909091,0.5,0.36363636363636365,2,32
1,0,사회과학계열,3,3,0,0,3,13,4,12,16551720.0,1,1182265.7142857143,4137930.0,0.8571428571428571,3,3.0,0.0,12,4137930.0,8275860.0,0.8571428571428571,3.0,0.21428571428571427,0.75,0.07142857142857142,0.25,0.2857142857142857,9,48
1,0,사회과학계열,3,1,1,0,4,0,6,0,1700160.0,0,1700160.0,425040.0,0.0,1,0.0,1.0,18,850080.0,850080.0,0.0,0.5,3.0,1.5,1.0,0.5,6.0,4,108
1,0,자연과학계열,3,1,2,0,3,8,2,4,4084800.0,0,453866.6666666667,1021200.0,0.4444444444444444,1,2.0,0.2222222222222222,6,2042400.0,2042400.0,0.4444444444444444,0.3333333333333333,0.3333333333333333,1.5,0.1111111111111111,0.5,0.2222222222222222,3,12
1,0,기타,3,5,4,0,4,26,3,14,26349720.0,1,975915.5555555556,6587430.0,0.5185185185185185,5,2.333333333333333,0.1481481481481481,9,4391620.0,13174860.0,0.5185185185185185,1.0,0.1111111111111111,0.5,0.037037037037037035,0.16666666666666666,0.1111111111111111,20,27
2,0,사회과학계열,1,1,1,1,2,10,5,10,5408220.0,0,491656.3636363637,2704110.0,0.9090909090909092,1,5.0,0.0909090909090909,5,2704110.0,1802740.0,0.9090909090909091,0.5,0.09090909090909091,0.5,0.18181818181818182,1.0,0.45454545454545453,2,25
1,1,상경계열,3,2,0,0,4,10,2,9,9418500.0,0,856227.2727272727,2354625.0,0.8181818181818182,2,3.0,0.0,6,3139500.0,4709250.0,0.8181818181818182,2.0,0.2727272727272727,1.0,0.09090909090909091,0.3333333333333333,0.18181818181818182,8,12
1,0,자연과학계열,2,3,3,0,4,24,4,22,14142240.0,1,565689.6,4714080.0,0.88,3,5.5,0.12,8,3535560.0,7071120.0,0.88,0.75,0.08,0.5,0.04,0.25,0.16,12,32
1,1,상경계열,3,5,3,0,4,22,2,2,26146860.0,1,1136820.0,6536715.0,0.0869565217391304,5,0.3333333333333333,0.1304347826086956,6,4357810.0,13073430.0,0.08695652173913043,1.25,0.13043478260869565,0.5,0.043478260869565216,0.16666666666666666,0.08695652173913043,20,12
1,0,자연과학계열,3,1,4,0,4,7,3,1,3444480.0,0,430560.0,861120.0,0.125,1,0.5,0.5,9,1722240.0,1722240.0,0.125,0.2,0.375,1.5,0.125,0.5,0.375,4,27
1,0,기타,3,2,2,0,4,9,5,4,8921700.0,1,892170.0,2230425.0,0.4,2,1.3333333333333333,0.2,15,2973900.0,4460850.0,0.4,0.6666666666666666,0.3,1.0,0.1,0.3333333333333333,0.5,8,75
1,0,자연과학계열,2,1,1,0,1,10,5,10,3044280.0,0,276752.7272727273,1014760.0,0.9090909090909092,1,5.0,0.0909090909090909,10,1522140.0,1522140.0,0.9090909090909091,0.5,0.18181818181818182,1.0,0.09090909090909091,0.5,0.45454545454545453,1,50
1,1,공학계열,3,2,3,0,3,19,6,1,2878680.0,0,143934.0,719670.0,0.05,2,0.3333333333333333,0.15,18,959560.0,1439340.0,0.05,0.5,0.15,1.0,0.05,0.3333333333333333,0.3,6,108
1,0,자연과학계열,3,1,2,0,1,6,2,2,3164340.0,0,452048.5714285714,791085.0,0.2857142857142857,1,1.0,0.2857142857142857,6,1582170.0,1582170.0,0.2857142857142857,0.3333333333333333,0.42857142857142855,1.5,0.14285714285714285,0.5,0.2857142857142857,1,12
1,0,자연과학계열,4,1,1,0,4,6,3,5,3650100.0,0,521442.8571428572,730020.0,0.7142857142857143,1,2.5,0.1428571428571428,12,1825050.0,1825050.0,0.7142857142857143,0.5,0.5714285714285714,2.0,0.14285714285714285,0.5,0.42857142857142855,4,36
1,1,상경계열,2,1,1,0,3,3,2,3,3702540.0,0,925635.0,1234180.0,0.75,1,1.5,0.25,4,1851270.0,1851270.0,0.75,0.5,0.5,1.0,0.25,0.5,0.5,3,8
1,1,상경계열,3,1,1,0,1,2,3,2,2779320.0,0,926440.0,694830.0,0.6666666666666666,1,1.0,0.3333333333333333,9,1389660.0,1389660.0,0.6666666666666666,0.5,1.0,1.5,0.3333333333333333,0.5,1.0,1,27
1,0,사회과학계열,2,1,9,0,4,6,3,1,4718220.0,0,674031.4285714285,1572740.0,0.1428571428571428,1,0.5,1.2857142857142858,6,2359110.0,2359110.0,0.14285714285714285,0.1,0.2857142857142857,1.0,0.14285714285714285,0.5,0.42857142857142855,4,18
2,1,사회과학계열,4,2,2,0,1,10,3,5,7418880.0,0,674443.6363636364,1483776.0,0.4545454545454545,2,1.6666666666666667,0.1818181818181818,12,2472960.0,2472960.0,0.45454545454545453,0.6666666666666666,0.36363636363636365,1.3333333333333333,0.18181818181818182,0.6666666666666666,0.2727272727272727,2,36
1,0,기타,3,1,1,0,3,1,3,1,2692380.0,0,1346190.0,673095.0,0.5,1,0.5,0.5,9,1346190.0,1346190.0,0.5,0.5,1.5,1.5,0.5,0.5,1.5,3,27
1,0,사회과학계열,3,1,1,0,4,1,6,1,3230580.0,0,1615290.0,807645.0,0.5,1,0.5,0.5,18,1615290.0,1615290.0,0.5,0.5,1.5,1.5,0.5,0.5,3.0,4,108
1,0,사회과학계열,1,1,1,0,3,1,2,1,3164340.0,0,1582170.0,1582170.0,0.5,1,0.5,0.5,2,1582170.0,1582170.0,0.5,0.5,0.5,0.5,0.5,0.5,1.0,3,4
2,1,사회과학계열,3,3,1,0,4,9,0,9,12041880.0,0,1204188.0,3010470.0,0.9,3,2.25,0.1,0,3010470.0,4013960.0,0.9,1.5,0.3,0.75,0.2,0.5,0.0,12,0
2,0,자연과학계열,3,2,1,1,4,12,2,12,5535180.0,0,425783.07692307694,1383795.0,0.9230769230769232,2,4.0,0.0769230769230769,6,1845060.0,1845060.0,0.9230769230769231,1.0,0.23076923076923078,1.0,0.15384615384615385,0.6666666666666666,0.15384615384615385,8,12
1,0,공학계열,3,5,1,0,4,23,0,22,26972100.0,1,1123837.5,6743025.0,0.9166666666666666,5,3.6666666666666665,0.0416666666666666,0,4495350.0,13486050.0,0.9166666666666666,2.5,0.125,0.5,0.041666666666666664,0.16666666666666666,0.0,20,0
0,1,상경계열,3,2,0,1,3,10,2,9,6303840.0,0,573076.3636363636,1575960.0,0.8181818181818182,2,3.0,0.0,6,2101280.0,6303840.0,0.8181818181818182,2.0,0.2727272727272727,1.0,0.0,0.0,0.18181818181818182,6,12
1,0,사회과학계열,3,1,4,1,1,8,1,1,4170360.0,0,463373.3333333333,1042590.0,0.1111111111111111,1,0.5,0.4444444444444444,3,2085180.0,2085180.0,0.1111111111111111,0.2,0.3333333333333333,1.5,0.1111111111111111,0.5,0.1111111111111111,1,3
2,1,상경계열,3,2,4,1,3,14,4,9,7965360.0,0,531024.0,1991340.0,0.6,2,3.0,0.2666666666666666,12,2655120.0,2655120.0,0.6,0.4,0.2,1.0,0.13333333333333333,0.6666666666666666,0.26666666666666666,6,48
1,0,사회과학계열,4,1,1,0,4,1,2,1,3131220.0,0,1565610.0,626244.0,0.5,1,0.5,0.5,8,1565610.0,1565610.0,0.5,0.5,2.0,2.0,0.5,0.5,1.0,4,16
1,0,사회과학계열,2,3,9,0,4,23,2,1,7425780.0,0,309407.5,2475260.0,0.0416666666666666,3,0.25,0.375,4,1856445.0,3712890.0,0.041666666666666664,0.3,0.08333333333333333,0.5,0.041666666666666664,0.25,0.08333333333333333,12,8
1,0,공학계열,3,1,1,0,3,2,3,2,4748580.0,0,1582860.0,1187145.0,0.6666666666666666,1,1.0,0.3333333333333333,9,2374290.0,2374290.0,0.6666666666666666,0.5,1.0,1.5,0.3333333333333333,0.5,1.0,3,27
1,1,상경계열,3,2,5,1,3,9,2,4,7526520.0,0,752652.0,1881630.0,0.4,2,1.3333333333333333,0.5,6,2508840.0,3763260.0,0.4,0.3333333333333333,0.3,1.0,0.1,0.3333333333333333,0.2,6,12
0,0,자연과학계열,2,3,2,0,3,10,3,4,13639920.0,1,1239992.7272727273,4546640.0,0.3636363636363636,3,1.0,0.1818181818181818,6,3409980.0,13639920.0,0.36363636363636365,1.0,0.18181818181818182,0.5,0.0,0.0,0.2727272727272727,9,18
1,1,상경계열,2,2,7,0,3,5,2,2,5736660.0,0,956110.0,1912220.0,0.3333333333333333,2,0.6666666666666666,1.1666666666666667,4,1912220.0,2868330.0,0.3333333333333333,0.25,0.3333333333333333,0.6666666666666666,0.16666666666666666,0.3333333333333333,0.3333333333333333,6,8
2,0,사회과학계열,3,3,1,0,3,15,1,15,18572040.0,1,1160752.5,4643010.0,0.9375,3,3.75,0.0625,3,4643010.0,6190680.0,0.9375,1.5,0.1875,0.75,0.125,0.5,0.0625,9,3
2,1,사회과학계열,3,3,1,1,4,9,3,9,12515220.0,0,1251522.0,3128805.0,0.9,3,2.25,0.1,9,3128805.0,4171740.0,0.9,1.5,0.3,0.75,0.2,0.5,0.3,12,27
